epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,2577.58,1.34978,0.66057,1.02584,0.81708,0.69948,0.76079,0.35121,2.0486,0.89195,1.36996,0.0010923,0.0010923,0.0010923
121,2599.06,1.32854,0.64489,1.01712,0.77582,0.74868,0.78126,0.35942,2.04668,0.87018,1.36682,0.00108947,0.00108947,0.00108947
122,2619.82,1.33475,0.64874,1.02889,0.78133,0.72997,0.7729,0.35154,2.039,0.88429,1.3723,0.00108664,0.00108664,0.00108664
123,2641.6,1.35457,0.66427,1.03737,0.78504,0.76249,0.78668,0.36016,2.03371,0.89661,1.35657,0.00108381,0.00108381,0.00108381
124,2662.32,1.33911,0.65105,1.0288,0.80221,0.74303,0.78721,0.35597,2.05522,0.89255,1.36284,0.00108098,0.00108098,0.00108098
125,2682.72,1.32244,0.63133,1.0192,0.85043,0.73627,0.80333,0.36154,2.04629,0.88116,1.37349,0.00107815,0.00107815,0.00107815
126,2704.21,1.34102,0.6552,1.01972,0.7917,0.7367,0.77499,0.34484,2.07436,0.90544,1.37394,0.00107532,0.00107532,0.00107532
127,2725.18,1.33533,0.64851,1.02212,0.76063,0.73983,0.76833,0.3282,2.05634,0.90217,1.37259,0.00107249,0.00107249,0.00107249
128,2745.61,1.31368,0.64094,1.01694,0.81763,0.71294,0.78181,0.34008,2.06022,0.8826,1.38635,0.00106966,0.00106966,0.00106966
129,2767.6,1.30923,0.63874,1.01648,0.82235,0.70021,0.78109,0.34981,2.06848,0.90475,1.376,0.00106683,0.00106683,0.00106683
130,2787.75,1.29755,0.63562,1.01009,0.78324,0.65906,0.75948,0.35609,2.03106,0.8832,1.36739,0.001064,0.001064,0.001064
131,2809.32,1.3052,0.64397,1.00837,0.74587,0.75253,0.77649,0.34594,2.07189,0.90206,1.3736,0.00106118,0.00106118,0.00106118
132,2829.8,1.30078,0.63307,1.01097,0.76524,0.76835,0.79828,0.34902,2.06973,0.90259,1.38304,0.00105835,0.00105835,0.00105835
133,2851.22,1.32071,0.64383,1.01757,0.78527,0.72213,0.78152,0.3372,2.09994,0.88564,1.40342,0.00105552,0.00105552,0.00105552
134,2871.78,1.30058,0.6305,1.01133,0.76254,0.68628,0.71178,0.30378,2.08802,0.89474,1.40503,0.00105269,0.00105269,0.00105269
135,2892.34,1.3021,0.63337,1.01088,0.80891,0.66165,0.73685,0.32476,2.07024,0.88772,1.39905,0.00104986,0.00104986,0.00104986
136,2913.19,1.3097,0.63588,1.01429,0.75648,0.71534,0.76581,0.33257,2.05453,0.87395,1.39282,0.00104703,0.00104703,0.00104703
137,2934.59,1.2956,0.63565,1.00423,0.81484,0.67665,0.77659,0.34975,2.04557,0.87292,1.38876,0.0010442,0.0010442,0.0010442
138,2954.8,1.28209,0.62867,1.00748,0.79007,0.72974,0.77162,0.33621,2.0635,0.87319,1.38468,0.00104137,0.00104137,0.00104137
139,2976.87,1.29128,0.62757,1.00465,0.80571,0.68309,0.76394,0.34984,2.02799,0.87387,1.37182,0.00103854,0.00103854,0.00103854
140,2996.97,1.2898,0.62456,0.99948,0.78189,0.73545,0.76035,0.33685,2.08504,0.87712,1.40148,0.00103571,0.00103571,0.00103571
141,3017.86,1.29508,0.62907,1.00765,0.77488,0.73569,0.76513,0.34848,2.06552,0.88129,1.39089,0.00103288,0.00103288,0.00103288
142,3038.97,1.27176,0.616,0.9985,0.76517,0.74803,0.77854,0.36798,2.06494,0.9144,1.38616,0.00103005,0.00103005,0.00103005
143,3059.32,1.26349,0.61839,0.99547,0.76674,0.74643,0.77699,0.35591,2.06566,0.8845,1.37174,0.00102722,0.00102722,0.00102722
144,3081.05,1.28267,0.63163,1.00766,0.80786,0.67617,0.75424,0.35281,2.05811,0.87857,1.38162,0.00102439,0.00102439,0.00102439
145,3102.7,1.26549,0.61966,0.99704,0.78021,0.72754,0.76126,0.35741,2.02928,0.87752,1.36586,0.00102156,0.00102156,0.00102156
146,3122.67,1.25474,0.6086,0.99467,0.79309,0.71519,0.77601,0.356,2.06361,0.89078,1.4121,0.00101873,0.00101873,0.00101873
147,3143.43,1.27357,0.62943,1.00972,0.75931,0.74168,0.76771,0.35595,2.01022,0.91247,1.36651,0.0010159,0.0010159,0.0010159
148,3163.05,1.2819,0.63422,1.01037,0.78221,0.72685,0.79877,0.36417,2.01482,0.87653,1.35444,0.00101308,0.00101308,0.00101308
149,3184.34,1.25336,0.61501,0.99472,0.8285,0.701,0.77279,0.34906,2.04079,0.87901,1.37792,0.00101025,0.00101025,0.00101025
